Air Quality,PM2.5,PM10,NO2,SO2,CO
2,5.2,17.9,18.9,9.2,1.72
2,2.3,12.2,30.8,9.7,1.64
2,26.7,33.8,24.4,12.6,1.63
0,6.1,6.3,13.5,5.3,1.15
0,6.9,16.0,21.9,5.6,1.01
1,14.6,35.5,42.9,17.9,1.82
3,1.7,15.8,31.1,12.7,1.8
2,5.0,16.8,24.2,13.6,1.38
3,10.3,22.7,45.1,11.8,2.03
3,11.1,24.4,32.0,15.3,1.69
0,1.3,5.5,18.3,5.9,0.85
2,1.6,10.5,21.6,19.3,1.53
0,3.7,12.9,26.1,6.6,1.09
0,28.9,34.0,23.2,4.5,1.02
0,4.5,12.0,17.2,6.3,1.18
2,22.4,29.9,27.5,11.8,1.48
0,4.5,10.4,18.4,3.7,0.96
3,28.1,56.6,46.7,13.7,1.85
2,9.0,15.7,28.5,7.1,1.52
3,0.6,24.6,37.1,11.7,1.13
2,3.5,14.4,30.7,9.4,0.97
0,3.8,10.9,9.1,1.7,1.04
0,0.4,-0.2,25.3,4.5,0.98
0,8.3,15.4,23.3,4.6,1.03
0,0.5,2.0,22.9,2.3,0.94
0,16.4,21.3,17.6,4.8,0.93
0,2.0,3.9,15.3,5.2,1.09
3,10.1,16.6,32.2,6.3,1.85
0,3.4,9.3,20.6,2.9,1.03
1,67.5,91.2,31.6,34.6,2.31
1,34.6,57.3,28.1,22.6,1.78
0,24.0,29.0,26.6,5.3,0.96
3,20.5,33.2,34.4,11.7,1.85
3,84.4,94.4,26.7,19.8,1.55
0,7.1,16.8,14.5,6.0,0.91
2,83.3,93.5,25.3,6.8,1.71
0,30.2,34.1,15.3,3.0,0.98
0,18.5,25.0,24.9,6.1,1.32
0,2.3,8.4,23.5,3.7,0.96
1,55.1,72.7,40.5,30.7,2.12
1,3.1,2.2,39.5,29.2,2.61
3,48.3,67.1,31.4,23.3,1.75
3,68.9,85.2,43.7,13.0,1.7
3,17.3,37.0,27.2,14.9,1.48
2,8.7,13.2,29.7,15.8,1.4
0,2.6,6.9,21.0,3.5,0.92
0,3.1,8.1,19.7,5.8,1.18
0,1.1,5.2,21.3,6.1,0.89
0,2.2,8.4,19.6,3.0,0.92
2,70.7,84.8,22.4,8.2,1.59
1,12.1,35.3,41.4,30.4,2.67
0,2.8,10.1,13.7,4.1,0.82
2,4.1,19.3,28.0,14.5,1.45
1,144.0,169.8,42.5,16.1,2.3
1,23.4,56.5,34.2,27.2,1.95
3,4.2,19.0,23.7,6.0,1.57
2,21.4,26.9,30.1,17.4,1.29
2,31.5,44.4,27.0,-2.8,1.49
2,19.5,27.9,25.6,2.0,1.54
3,17.8,29.9,37.5,9.9,1.74
0,16.0,19.7,11.2,2.5,1.17
3,75.2,90.0,30.8,5.0,1.81
3,95.7,110.4,36.1,20.5,2.3
0,14.6,20.6,20.9,1.6,0.94
0,12.8,15.9,22.0,3.8,1.16
0,3.3,8.8,16.2,8.4,0.83
3,1.4,23.3,23.0,25.8,2.06
1,44.0,54.0,44.3,22.7,3.09
0,36.0,40.3,26.4,5.4,1.15
2,43.3,45.5,28.8,9.5,1.42
0,9.3,10.8,15.8,4.6,0.92
2,15.7,25.0,27.7,10.6,1.44
1,7.9,30.3,35.3,27.6,2.07
0,6.8,9.3,13.4,4.9,0.98
0,4.6,9.2,20.5,5.7,1.03
2,5.2,19.2,22.5,9.0,1.48
2,25.8,35.6,31.2,19.0,1.48
0,10.6,15.4,13.9,8.9,1.0
3,54.0,76.8,31.6,16.4,2.15
0,6.1,13.9,17.2,4.3,1.18
0,12.4,21.2,27.7,3.7,0.99
0,2.9,6.4,11.1,6.6,0.96
3,28.6,42.6,39.9,4.0,2.2
1,34.3,52.8,42.7,9.4,1.87
0,13.8,21.4,25.7,3.8,0.95
0,17.0,21.7,19.7,11.3,0.99
3,32.2,41.3,32.1,9.4,1.95
0,11.0,15.8,20.0,5.6,1.09
0,23.1,29.5,15.1,3.7,0.92
3,11.4,30.2,36.5,20.3,1.89
0,1.1,5.0,24.8,2.1,1.12
0,19.3,26.0,26.1,5.5,0.82
0,2.3,6.7,23.4,2.8,1.09
3,6.6,28.3,25.7,23.5,2.1
0,12.2,15.0,26.6,3.6,0.97
3,8.8,18.7,29.8,14.7,2.03
2,8.1,16.3,22.0,15.9,1.63
2,7.2,15.9,38.9,12.1,1.46
0,15.5,19.9,18.6,7.7,1.04
3,1.5,23.4,43.8,20.0,1.89
0,1.9,5.0,12.1,4.5,1.12
2,25.9,28.5,21.5,3.1,1.45
0,20.7,23.0,20.4,6.2,1.05
0,5.4,10.4,13.5,1.1,1.09
1,24.5,47.4,39.9,26.7,2.36
0,6.2,13.0,24.3,5.0,1.01
1,81.9,87.0,40.4,18.4,2.14
2,101.6,109.9,19.3,9.2,1.32
0,0.0,8.3,23.5,7.4,0.92
0,19.0,20.7,20.1,5.3,1.03
2,48.4,53.0,21.0,10.4,1.53
3,3.4,15.4,24.5,6.4,1.38
0,4.6,8.9,15.1,6.8,0.93
